#IID,Apolipoprotein_B_Pos_SUM,CRP_Neg_SUM,Diffusivity_inferior_longitudinal_fasciculus_Neg_SUM,ICVF_Cingulum_CingulateR_SUM,Proinsulin_Neg_SUM,T2stat_PutamenL_Neg_SUM,Total_GRS_SUM
HG00474,0,0,0,0,0,0,10.6157
HG00475,0,0,0,0,0,0,10.8652
HG00476,0,0,0,0,0,0,18.6749
HG00477,0,0,0,0,0,0,18.9244
HG00478,0,0,0,0,0,0,8.00917
HG00479,0,0,0,0,0,0,21.5309
HG00480,0,0,0,0,0,0,18.9244
HG00500,0,0,0,0,0,0,9.71666
HG00501,0,0,0,0,0,0,18.9244
HG00502,0,0,0,0,0,0,13.4717
HG00512,0,0,0,0,0,0,12.3134
HG00513,0,0,0,0,0,0,16.4415
HG00514,0,0,0,0,0,0,8.30879
HG00524,0,0,0,0,0,0,18.9244
HG00525,0,0,0,0,0,0,10.6157
HG00526,0,0,0,0,0,0,13.2221
HG00530,0,0,0,0,0,0,14.9199
HG00531,0,0,0,0,0,0,10.6157
HG00532,0,0,0,0,0,0,13.4717
HG00533,0,0,0,0,0,0,10.6157
HG00534,0,0,0,0,0,0,18.9244
HG00535,0,0,0,0,0,0,13.4619
HG00536,0,0,0,0,0,0,21.7707
HG00537,0,0,0,0,0,0,13.4619
HG00538,0,0,0,0,0,0,13.4619
HG00542,0,0,0,0,0,0,8.00917
HG00543,0,0,0,0,0,0,16.318
HG00544,0,0,0,0,0,0,10.8652
HG00551,0,0,0,1.78141,0,0,4.7659
HG00552,0,0,0,1.78141,0,0,11.6265
HG00553,0,0,0,1.78141,0,0,14.2232
HG00554,0,0,0,1.78141,0,0,14.233
HG00555,0,0,0,3.56282,0,0,17.8406
HG00556,0,0,0,0,0,0,12.0638
HG00557,0,0,0,0,0,0,20.9118
HG00558,0,0,0,0,0,0,6.61107
HG00559,0,0,0,0,0,0,6.86062
HG00560,0,0,0,0,0,0,8.00917
HG00561,0,0,0,0,0,0,8.00917
HG00565,0,0,0,0,0,0,16.0684
HG00566,0,0,0,0,0,0,9.45733
HG00567,0,0,0,0,0,0,18.9147
HG00577,0,0,0,0,0,0,13.7212
HG00578,0,0,0,0,0,0,18.0558
